diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
rupophobia,Q3942826, , ,, , , , , , , , , , , , , , , , ,fear of dirt or filth, 
galeophobia,Q3954707, , ,, , , , , , , , , , , , , , , , ,fear of sharks,selachophobia
fear of trains,Q3960151, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Fear_of_trains,"anxiety and fear associated with trains, railways and railway travel",siderodromophobia
staurophobia,Q3968738, , ,, , , , , , , , , , , , , , , , , , 
teratophobia,Q3984222, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Teratophobia,fear of monsters or giving birth to a monster,Teratophobia
fear of crossing streets,Q4056938, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Fear_of_crossing_streets,phobia that affects a person's ability to cross a street or roadway,"agyrophobia,dromophobia"
hydrosophobia,Q4138088, , ,, , , , , , , , , , , , , , , , , , 
fear of pregnancy,Q4147342, , ,, , , , , , , , , , , , ,C0233704, , , , , 
climacophobia,Q4223549, , ,, , , , , , , , , , , , , , , , ,fear of stairs, 
myrmecophobia,Q4295685, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Myrmecophobia,fear of ants, 
fear of frogs,Q4297397, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Fear_of_frogs,phobia known as frog phobia or ranidaphobia,"batrachophobia,fear of frogs and toads,frog phobia,ranidaphobia"
vermiphobia,Q4422074, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Vermiphobia,fear of worms,"helminthophobia,scoleciphobia"
agrizoophobia,Q4694196, , ,, , , , , , , , , , , , , , , , ,fear of wild animals, 
Anti-Mexican sentiment,Q4774227, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Anti-Mexican_sentiment,"sentiment against people of Mexican descent, Mexican culture, and accents of Mexican or Chicano English","Anti-Mexican racism,Chicanophobia"
atelophobia,Q4813049, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Atelophobia,fear of not being good enough or imperfection, 
automatonophobia,Q4826649, , ,, , , , , , , , , , , , , , , , ,"fear of human-like figures, such as mannequins, wax figures, statues, dummies, animatronics, or robots.", 
cephalgiaphobia,Q5063259, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cephalalgiaphobia,fear of headaches, 
chronophobia,Q5114244, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Chronophobia,fear of being trapped in a future of boredom,"cabin fever,stir crazy"
cyberphobia,Q5197828, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cyberphobia,fear of computers,logizomechanophobia
decidophobia,Q5249152, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Decidophobia,fear of decision making, 
equinophobia,Q5384517, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Equinophobia,psychological fear of horses,hippophobia
chiroptophobia,Q5439392, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Fear_of_bats,fear of bats,fear of bats
fear of falling,Q5439393, , ,, , , , , , , , , , , , ,C0877040, , ,https://en.wikipedia.org/wiki/Fear_of_falling,natural fear typical of most humans and mammals,"FOF,basiphobia,basophobia"
foreign language anxiety,Q5468412, , ,, , ,schizoglossia,Q7431577, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Foreign_language_anxiety,feeling of unease and insecurity experienced in learning or using a foreign language,xenoglossophobia
genuphobia,Q5533828, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Genuphobia,fear of one's own knees or someone else's knees or the act of kneeling, 
gerascophobia,Q5550344, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Gerascophobia,"abnormal, incessant fear and repulsion of growing older due to loss of health and ability","agephobia,fear of age"
caligynephobia,Q5644859, , ,, , , , , , , , , , , , , , , , ,fear of beautifl women,venustraphobia
aporophobia,Q5701611, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Aporophobia,fear or hostility towards poor people, 
bogyphobia,Q5731223, , ,, , , , , , , , , , , , , , , , , , 
chrysophobia,Q5791167, , ,, , , , , , , , , , , , , , , , ,fear of the color gold, 
geliophobia,Q5876639, , ,, , , , , , , , , , , , , , , , ,fear of laughter, 
scolionophobia,Q6007275, , ,, , , , , , , , , , , , , , , , ,fear of school, 
mycophobia,Q6013091, , ,, , , , , , , , , , , , , , , , , , 
fear of success,Q6013650, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Jonah_complex, ,Jonah Complex
injury phobia,Q6034425, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Traumatophobia,"abnormal, pathological fear of having an injury",traumatophobia
sexophobia,Q6126515, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Sexophobia,"fear of sexual organs or sexual activities and, in a larger sense, the fear of sexuality", 
hypengyophobia,Q6445598, , ,, , , , , , , , , , , , , , , , , ,"hypegiaphobia,paralipophobia"
medication phobia,Q6806658, , ,, , , , , , , , , , , , ,C2721591, , ,https://en.wikipedia.org/wiki/Medication_phobia,fear of the use of pharmacological treatments,pharmacophobia
obesophobia,Q7074872, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Obesophobia,fear of gaining weight,pocrescophobia
oikophobia,Q7081267, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Oikophobia,aversion to home surroundings,"domatophobia,ecophobia"
pyrophobia,Q7263687, , ,, , , , , , , , , , , , ,C0522189, , ,https://en.wikipedia.org/wiki/Pyrophobia,fear of fire,fear of fire
stygiophobia,Q7629347, , ,, , , , , , , , , , , , , , , , ,fear of hell, 
workplace phobia,Q8035067, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Workplace_phobia,anxiety disorder and specific phobia associated with workspace, 
chromophobia,Q8043081, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Chromophobia,fear of colors,"chrematophobia,chromatophobia"
ligyrophobia,Q9022512, , ,, , , , , , , , , , , , , , , , ,phobia, 
ancraophobia,Q9613498, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Ancraophobia,extreme fear of wind or drafts,anemophobia
oneirophobia,Q10341001, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Oneirophobia,fear of dreams, 
opioidophobia,Q11798668, , ,, , , , , , , , , , , , , , , , ,reluctance  to the use of opioid analgesics, 
ecclesiophobia,Q11877076, , ,, , , , , , , , , , , , , , , , ,fear of religious buildings, 
Ipovlopsychophobia,Q13476327, , ,, , , , , , , , , , , , , , , , , , 
mindphobia,Q14343064, , ,, , , , , , , , , , , , , , , , ,fear of attributing animals with a mind, 
pogonophobia,Q16379771, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Pogonophobia,fear of beards, 
pselaphobia,Q16592724, , ,, , , , , , , , , , , , , , , , ,fear of touching certain object, 
barophobia,Q16838175, , ,, , , , , , , , , , , , , , , , ,fear of gravity, 
spheksophobia,Q16867852, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Spheksophobia,fear of wasps,wasp phobia
eisoptrophobia,Q16884931, , ,, , , , , , , , , , , , , , , , ,fear of mirrors or seeing one's reflection, 
balloon phobia,Q17027368, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Balloon_phobia,fear of balloons,globophobia
chionophobia,Q17295799, , ,, , , , , , , , , , , , , , , , ,fear of snow, 
papyrophobia,Q17624380, , ,, , , , , , , , , , , , , , , , ,fear of paper, 
bibliophobia,Q18169108, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Bibliophobia,fear or hatred of books, 
aversion to happiness,Q18209757, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Aversion_to_happiness,People wanting to deliberately avoid positive emotions and / or happiness,"cherophobia,fear of happiness"
coimetrophobia,Q18348224, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Coimetrophobia,fear of cemeteries, 
demonophobia,Q18351141, , ,, , , , , , , , , , , , , , , , ,fear of demons,daemonophobia
toxiphobia,Q18353745, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Toxiphobia,fear of poisons and being poisoned, 
lilapsophobia,Q18353905, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Lilapsophobia,abnormal fear of tornadoes or hurricanes,phobia of tornadoes
harpaxophobia,Q18357680, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Harpaxophobia, , 
mechanophobia,Q18389618, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Mechanophobia,fear of machines, 
abyssophobia,Q19607141, , ,, , , , , , , , , , , , , , , , , , 
Q21235538,Q21235538, , ,, , , , , , , , , , , , , , , , , , 
logophobia,Q21283002, , ,, , , , , , , , , , , , , , , , ,fear of certain words, 
hedonophobia,Q23679966, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Hedonophobia,fear or aversion to obtaining pleasure, 
iconophobia,Q23808134, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Iconophobia,"aversion to images, especially religious icons", 
eurotophobia,Q24946301, , ,, , ,erythrophobia,Q1363791, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Eurotophobia,aversion to or dislike of female genitalia, 
Iophobia,Q25339134, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Iophobia, , 
centrophobia,Q25399767, , ,, , , , , , , , , , , , , , , , , ,centrophobism
potamophobia,Q25406773, , ,, , , , , , , , , , , , , , , , , , 
e-commerce fear,Q25456248, , ,, , , , , , , , , , , , , , , , ,fear of online shopping, 
arachibutyrofobie,Q27991435, , ,, , , , , , , , , , , , , , , , ,phobia, 
papaphobia,Q27991457, , ,, , , , , , , , , , , , , , , , ,fear of pope, 
ostraconophobia,Q28402671, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Ostraconophobia,fear of shellfish, 
mageirocophobia,Q30314092, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Mageiricophobia,fear of cooking, 
robophobia,Q30891875, , ,, , , , , , , , , , , , , , , , , , 
metallophobia,Q30898145, , ,, , , , , , , , , , , , , , , , ,fear of metal, 
xylophobia,Q30914598, , ,, , , , , , , , , , , , , , , , , , 
lachanophobia,Q31195341, , ,, , , , , , , , , , , , , , , , ,fear of vegetables, 
anuptophobia,Q39080883, , ,, , , , , , , , , , , , , , , , , , 
vegaphobia,Q40800461, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Vegaphobia,aversion to vegetarian and vegan people,vegephobia
hodophobia,Q55613826, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Hodophobia,fear of travel,travel phobia
Q56321012,Q56321012, , ,, , , , , , , , , , , , , , , , , , 
seismophobia,Q56328605, , ,, , , , , , , , , , , , , , , , , , 
whorephobia,Q59161710, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Whorephobia,fear of and discrimination against sex workers,"cyprianophobia,hooker fear,prostitute fear,whoremisia"
peniaphobia,Q61159988, , ,, , , , , , , , , , , , , , , , ,fear of being poor, 
cacophobia,Q63137979, , ,, , ,lookism,Q1463434, , , , , , , , , , , , ,fear of ugliness, 
Stadtaffe,Q1452495, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Stadtaffe,album, 
primitive neuroectodermal tumor,Q618660, , ,, , , , , , , , , , , , ,C0206663,D018242, ,https://en.wikipedia.org/wiki/Primitive_neuroectodermal_tumor,group of malignant tumors of the nervous system that feature primitive cells with elements of neuronal or glial differentiation,"Neuroectodermal Tumors, Primitive"
Microgenia,Q3720523, , ,, , , , , , , , , , , , ,C0341030, , ,https://en.wikipedia.org/wiki/Microgenia,Abnormally small chin, 
Q21086076,Q21086076, , ,, , , , , , , , , , , , , , , , , , 
chlamydia infection,Q153356, , ,,"DL-ofloxacin,Trovafloxacin,amoxicillin,azithromycin,clarithromycin,doxycycline,erythromycin,levofloxacin,oxytetracycline,sparfloxacin,sulfisoxazole,tetracycline,troleandomycin","Q1087499,Q118551,Q165399,Q193045,Q201928,Q213511,Q372598,Q411447,Q411646,Q422442,Q424193,Q544393,Q976559",Chlamydia pneumoniae infection,Q11299062, , ,Chlamydia trachomatis D/UW-3/CX,Q20800373, , ,"078.88,079.88,079.98", ,C0008149,D002690,C34463,https://en.wikipedia.org/wiki/Chlamydia,sexually transmitted infection caused by the bacterium Chlamydia trachomatis.,"Chlamydia trachomatis infectious disease,chlamydia,chlamydial disease,chlamydial infection"
adult T-cell leukemia/lymphoma,Q379054, , ,"Adulthood Lesion,Malignant Cellular Infiltrate,Aggressive Clinical Course", , , , , , , , , , , ,"C91.5,C91.50",C0023493,D015459,C3184,https://en.wikipedia.org/wiki/Adult_T-cell_leukemia/lymphoma,human disease,"Adult T-cell leukemia/lymphoma,Leukemia-Lymphoma, Adult T-Cell"
Syphilitic aortitis,Q666481, , ,, , , , , , , , , , ,093.1,A52.02, ,D013589, ,https://en.wikipedia.org/wiki/Syphilitic_aortitis,inflammation of the aorta,"Syphilitic aortitis,Syphilitic aortitis (disorder),obsolete syphilitic aortitis,syphilitic aortitis"
lymphogranuloma venereum,Q694552,abscess,Q164655,, , , , , , ,"Chlamydia trachomatis,Chlamydia trachomatis 434/BU","Q131065,Q20800254", , ,099.1,A55,C0024286,D008219,C26822,https://en.wikipedia.org/wiki/Lymphogranuloma_venereum,"sexually transmitted disease caused by the invasive serovars L1, L2, L2a or L3 of Chlamydia trachomatis.","Climatic or tropical bubo,Durand-Nicolas-Favre disease,LGV,Lymphogranuloma inguinale,Poradenitis inguinale,Strumous bubo,lymph granuloma inguinale"
Gonococcal arthritis,Q3624451, , ,, , , , , , , , , , , , ,C0153216, , , , ,"Gonococcal joint infection,Gonococcal rheumatism"
genital ulcer,Q4116466, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Genital_ulcer,ulcer located on the genital area, 
Acute prostatitis,Q5248726, , ,, , , , , , , , , , , , ,C1720795, , ,https://en.wikipedia.org/wiki/Acute_prostatitis,serious bacterial infection of the prostate gland,Acute Bacterial Prostatitis
Chronic bacterial prostatitis,Q5248740, , ,, , , , , , , , , , , , ,C1720797, , ,https://en.wikipedia.org/wiki/Chronic_bacterial_prostatitis,bacterial infection of the prostate gland, 
HPV-positive oropharyngeal cancer,Q5635621, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/HPV-positive_oropharyngeal_cancer,Cancer of the throat, 
neurosyphilis,Q7888578, , ,, , , , , , , , , , , , , ,D009494, ,https://en.wikipedia.org/wiki/Neurosyphilis,infection of the central nervous system in a patient with syphilis, 
Ureaplasma infection,Q7900355, , ,, , , , , , ,infection,Q166231, , , , , ,D016869, ,https://en.wikipedia.org/wiki/Ureaplasma_infection, , 
Post-finasteride syndrome,Q2105859, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Post-finasteride_syndrome, , 
BCG infection,Q2929716, , ,, , , , , , ,BCG vaccine,Q798309, , , , , , , , , ,BCG adverse effects
side effects of paraffin wax,Q3124827, , ,, , , , , , , , , , , , , , , , , , 
reactogenicity,Q7300322, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Reactogenicity,"property of a vaccine of being able to produce common or expected adverse reactions, especially excessive immunological responses and associated signs and symptoms", 
Side effects of penicillin,Q30314962, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Side_effects_of_penicillin, , 
1592–93 London plague,Q64875937, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/1592%E2%80%931593_London_plague,Major plague outbreak in England, 
Plague of Sheroe,Q65091887, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Plague_of_Sheroe,7th Century epidemic in Mesopotomia, 
human papillomavirus infection,Q184627, , ,, , , , , , ,human papilloma virus,Q69999790, , ,079.4, ,C0343641, ,C27851,https://en.wikipedia.org/wiki/Human_papillomavirus_infection,infection caused by the human papillomavirus (HPV),"HPV,Human papilloma Virus Infection,Human papilloma virus infection, NOS,Papillomavirus Infections,Tumor Virus Infections,human papilloma virus infectious disease,obsolete papillomavirus infectious disease"
Condyloma,Q738101, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Condyloma,Wikimedia disambiguation page,"Condylom,condylomas"
Dermatobia hominis myiasis,Q4158998, , ,, , , , , , ,infection,Q166231, , , , , , , , , , 
tuberculosis,Q12204,"cough,fever,hemoptysis,weight loss","Q35805,Q38933,Q647099,Q718113",,"4-aminosalicylic acid,Viomycin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,pyrazinamide","Q12751472,Q229924,Q412318,Q414767,Q415909,Q417571,Q418508,Q423169",mycobacterium infectious disease,Q4293079, , ,Mycobacterium tuberculosis,Q130971, , , , ,C0041296,D014376,C3423,https://en.wikipedia.org/wiki/Tuberculosis,infectious disease caused by the bacterium Mycobacterium tuberculosis,"In the clinic. Tuberculosis,TB,Tuberculosis,consumption,hydrothorax,phthisis,phthisis pulmonalis,phtisis"
rabies,Q39222,"cardiac arrest,chills,fear,hallucination,headache,hydrophobia (sign),hyperactivity,hypersalivation,increase,insomnia,irritability,mydriasis,pain,paralysis,paresthesia,phonophobia,photophobia,respiratory arrest,vomiting","Q107231,Q1128283,Q127076,Q130741,Q1640850,Q1869874,Q202837,Q2260058,Q2434711,Q281289,Q29299,Q3774744,Q44619,Q56635009,Q761862,Q769220,Q81938,Q86,Q9073584",, , , , , , ,rabies virus,Q698976, , ,071,"A82,A82.0,A82.1,A82.9",C0034494,D011818,C28182,https://en.wikipedia.org/wiki/Rabies,"deadly viral disease, transmitted through animals","Lyssa,extreme salivation,hydrophobia"
measles,Q79793,"Koplik's spots,Stimson's triad,anorexia,conjunctivitis,cough,diarrhea,fever,lymphadenopathy,maculopapular rash,runny nose","Q1115038,Q167844,Q254327,Q2707302,Q35805,Q38933,Q40878,Q55834490,Q6725808,Q847726",, , , , , , , , ,"ELISA,Koplik's spots,physical examination","Q2707302,Q332126,Q835153",055,"B05,B05.9",C0025007,D008457,C96406,https://en.wikipedia.org/wiki/Measles,viral disease affecting humans,"Measles virus infectious disease,Rubeola,Rubeola Infection,measles virus infectious disease,measles, rubeola,morbilli,obsolete Measles virus infectious disease"
anthrax,Q129104,"diarrhea,hematochezia,lymphadenitis,meningism signs,nausea,rectorrhagia,swelling,ulcer","Q109186,Q12122651,Q1642049,Q186889,Q3269466,Q3422583,Q40878,Q6452285",,"ciprofloxacin,doxycycline,erythromycin,minocycline,penicillin G procaine hydrate,streptomycin","Q13026783,Q192717,Q213511,Q256602,Q415336,Q422442","Wąglik, Warmian-Masurian Voivodeship",Q8041051, , ,"Bacillus anthracis,anthrax toxin","Q1935986,Q614156","Ascoli's test,complete blood count,microbiological culture,optical microscope,physical examination","Q1125312,Q11283449,Q835153,Q886518,Q912313","022,022.8,022.9","A22,A22.9",C0003175,D000881,C84565,https://en.wikipedia.org/wiki/Anthrax,infection caused by Bacillus anthracis bacteria,"Bacillus anthracis infection,anthrax disease,woolsorter's disease,woolsorters' disease"
diphtheria,Q134649,"barking cough,fever,heart failure,peripheral neuropathy,pseudomembrane,sore throat,swelling,tonsillitis","Q109186,Q1292082,Q1495301,Q181754,Q186470,Q21513506,Q38933,Q945238",,"ampicillin,antitoxin,azithromycin,clarithromycin,penicillin,penicillin G,tylosin","Q118551,Q12190,Q165399,Q244150,Q258450,Q411462,Q584135",Krup,Q11748459, , ,Corynebacterium diphtheriae,Q131649,"Elek's test,microbiological culture,physical examination","Q1125312,Q1326345,Q835153","032,032.9","A36,A36.0,A36.1,A36.2,A36.3,A36.8,A36.9","C0010153,C0012546",D004165,C34541,https://en.wikipedia.org/wiki/Diphtheria,infectious disease, 
tularemia,Q153861,"abdominal pain,anorexia,bronchitis,bubo,diarrhea,enanthem,fever,headache,hepatomegaly,lymphadenitis,lymphangitis,malaise,nausea,nosebleed,pleurisy,pneumonia,poisoning,rash,sore throat,splenomegaly,tracheitis,ulcer,vomiting","Q1129121,Q114953,Q12192,Q127076,Q1292082,Q1362864,Q1476027,Q173022,Q183425,Q186889,Q202013,Q254327,Q2673323,Q2722991,Q3269466,Q38933,Q40878,Q55998,Q599982,Q6452285,Q653197,Q86,Q946278",,"ciprofloxacin,doxycycline,streptomycin,tetracycline","Q192717,Q193045,Q256602,Q422442", , , , ,Francisella tularensis,Q1003460,"Agglutination Test,ELISA,Tularin,complete blood count,microbiological culture,physical examination,polymerase chain reaction","Q1125312,Q176996,Q25440532,Q332126,Q73509494,Q835153,Q886518",021.8, ,C0029835,D014406, ,https://en.wikipedia.org/wiki/Tularemia,"primary bacterial infectious disease that has material basis in Francisella tularensis, which is transmitted by dog tick bite (Dermacentor variabilis), transmitted by deer flies (Chrysops sp) or transmitted by contact with infected animal tissues.","Ohara's fever,Pahvant Valley plague,deer fly fever,rabbit fever"
legionnaires' disease,Q154882,"chills,cough,fever,headache,myalgia,pneumonia","Q12192,Q2260058,Q35805,Q38933,Q474959,Q86",,"azithromycin,ciprofloxacin,doxycycline,erythromycin,gatifloxacin,levofloxacin,levofloxacin hemihydrate,moxifloxacin,troleandomycin","Q1087499,Q165399,Q213511,Q2365016,Q256602,Q422442,Q424193,Q424940,Q47495791", , , , ,Legionella pneumophila,Q147885,"ELISA,chest radiograph,complete blood count,computed tomography,immunofluorescence microscopy,microbiological culture,polymerase chain reaction","Q1125312,Q1283318,Q176996,Q32566,Q332126,Q592324,Q886518",482.84,A48.1,C0023241,D007877,C128339,https://en.wikipedia.org/wiki/Legionnaires%27_disease,legionellosis that is characterized by severe form of infection producing pneumonia.,"(Legionella) or (Legionnaire's disease),Infection by Legionella pneumophilia,Infection by Legionella pneumophilia (disorder),Legionella,Legionella pneumonia,Legionella pneumonia (disorder),Legionellosis,Legionnaire's disease,Legionnaires' disease"
rubella,Q155857,"fatigue,fever,rash,sore throat","Q1292082,Q38933,Q653197,Q9690",, , ,Różyczka,Q9325866, , ,Rubella virus,Q701609, , ,056,"B06,B06.9",C0035920,D012409,C85051,https://en.wikipedia.org/wiki/Rubella,human viral disease,"German measles,rubella infection,three day measles,three-day measles"
hepatitis A,Q157661,"anorexia,fever,hepatitis,jaundice,malaise,nausea,vomiting","Q127076,Q131742,Q133244,Q186889,Q254327,Q2673323,Q38933",, , , , , , ,Hepatitis A virus,Q4112120,"ELISA,polymerase chain reaction","Q176996,Q332126", , ,C0019159,D006506,C3096,https://en.wikipedia.org/wiki/Hepatitis_A,acute infectious disease of the liver,"Hepatitis A Infection,Viral hepatitis A,Viral hepatitis, type A,hepatitis type A"
chikungunya,Q243257,"arthralgia,conjunctivitis,fatigue,fever,headache,myalgia,nausea,neurological disorder,rash","Q167844,Q186889,Q3339235,Q38933,Q474959,Q653197,Q683498,Q86,Q9690",,non-steroidal anti-inflammatory drug,Q188724, , , , ,Chikungunya virus,Q15794049,"physical examination,polymerase chain reaction,viral culture","Q176996,Q7933598,Q835153", ,A92.0,C0008055,D065632,C128422,https://en.wikipedia.org/wiki/Chikungunya,infection caused by the chikungunya virus,"Arbovirus A Chikungunya type,CHIKV infection,Chikungunya fever,Chikungunya virus infection,chikungunya fever and pain"
hepatitis E,Q326643,"acute liver failure,anorexia,fever,hepatic encephalopathy,hepatitis,hepatomegaly,jaundice,nausea,vomiting","Q1192530,Q127076,Q131742,Q133244,Q1362864,Q186889,Q254327,Q38933,Q642548",,ribavirin,Q421862, , , , ,hepatitis E virus,Q5731737,"ELISA,polymerase chain reaction","Q176996,Q332126", , ,C0085293,D016751, ,https://en.wikipedia.org/wiki/Hepatitis_E,Human disease,hepatitis type E
trichinosis,Q495146,"abdominal pain,edema,eosinophilia,fever,myalgia","Q152234,Q183425,Q38933,Q474959,Q505142",,thiabendazole,Q424986, , , , ,"Trichinella,Trichinella nativa,Trichinella spiralis","Q3538968,Q630285,Q730937", , ,124,B75,C0040896,D014235,C85199,https://en.wikipedia.org/wiki/Trichinosis,parasitic disease due to invasion by Trichinella spp.,"Trichinella spiralis infection,Trichinella spp. infection,Trichinella spp. invasion,Triquina,trichinellosis,trichiniasis"
mesothelioma,Q1077603,"chest pain,dry cough,dyspnea,pleural effusion,weight loss,wheeze","Q1334541,Q188008,Q517104,Q693058,Q718113,Q97464125","Asbestos Exposure,Malignant Cellular Infiltrate,Malignant Cellular Infiltrate,Extensive Stage Lesion,Malignant Cellular Infiltrate,Metastatic Lesion,Secondary Lesion,Diffuse Pattern,Malignant Cellular Infiltrate", , , , , , , , , , , ,C45,"C0025500,C0278752,C0345967,C0392400,C1332338",D008654,"C27926,C3234,C4456,C7865,C8420",https://en.wikipedia.org/wiki/Mesothelioma,type of cancer that develops from the mesothelium,"Mesothelioma,advanced malignant mesothelioma,asbestos-related malignant mesothelioma,diffuse malignant mesothelioma,malignant mesothelioma,malignant tumor of mesothelium,mesothelioma cancer"
2022 monkeypox outbreak in Germany,Q112119915, , ,, , , , , , , , , , , , , , , , ,"ongoing outbreak of monkeypox in Germany, 20 May 2022–present",2022 Germany monkeypox outbreak
noble rot,Q749342, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Noble_rot,"beneficial form of a grey fungus, Botrytis cinerea, affecting wine grapes", 
sooty bark disease of maples,Q64212020, , ,, , , , , , ,Cryptostroma corticale,Q10462705, , , , , , , , , , 
Q64348700,Q64348700, , ,, , , , , , ,Schizothyrium pomi,Q7431645, , , , , , , , , , 
two feet-one hand syndrome,Q108872557, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Two_feet-one_hand_syndrome,fungal condition,TFOHS
Severe fever with thrombocytopenia syndrome,Q3508725,"diarrhea,fever,nausea,rash,thrombocytopenia,vomiting","Q127076,Q186889,Q38933,Q40878,Q585285,Q653197",,ribavirin,Q421862, , , , ,SFTS virus,Q5313087, , , , ,CL508361, , ,https://en.wikipedia.org/wiki/Severe_fever_with_thrombocytopenia_syndrome,medical condition, 
Edema Disease of Swine,Q293931, , ,, , , , , , ,Verotoxin-producing Escherichia coli,Q265600, , , , , ,D004488, , ,An acute disease of young pigs that is usually associated with weaning. It is characterized clinically by paresis and subcutaneous edema.,"Swine Edema Disease,Swine Edema Diseases"
actinobacillosis of swine,Q343322, , ,, , , , , , ,Actinobacillus pleuropneumoniae,Q343332, , , , , , , , , , 
pear decline,Q865794, , ,, , , , , , ,Phytoplasma pyri,Q3901771, , , , , , , , , , 
colibacillosis in young pigs,Q1108794, , ,, , , , , , , , , , , , , , , , , , 
greasy pig disease,Q1406349, , ,, , , , , , ,Staphylococcus hyicus,Q2332104, , , , , , , , , , 
Clostridium Perfringens infection in piglets,Q1725377, , ,, , , , , , ,Clostridium perfringens,Q309465, , , , , , , , , , 
porcine proliferative enteropathy,Q1767508, , ,, , , , , , ,Lawsonia intracellularis,Q16992002, , , , , , , , , , 
Postpartum dysgalactia syndrome,Q1907943, , ,, , , , , , , , , , , , , , , , ,sow disease,mastitis-metritis-agalactia syndrome
mycoplasmal polyserositis and arthritis of pigs,Q1956614, , ,, , , , , , ,"Mycoplasma hyorhinis,Mycoplasma hyosynoviae","Q3869016,Q3869017", , , , ,C0276052, , , , , 
